a.           auch
Iter.        Iterativ(form)
IV¹          Indirektes Verb mit Personalzeichen des Indirekten Objekts
IV²          Indirektes Verb mit Personalzeichen der Objektiven Version
IV³          Indirektes Verb mit Personalzeichen der Superessiven Version
IV⁴          Indirektes Verb mit Personalzeichen des Relativen Passivs mit ე
j-d          jemand
j-m          jemandem
j-n          jemanden
j-s          jemandes
(jur.)       juristisch, gerichtlich
(kach.)      Dialekt von Kachethi, kachethisch
(khar.)      Dialekt von Kharthli, kharthlisch
(khis.)      Dialekt von Khisiqi, khisiqisch
(Kind.)      Kindersprache
(koll.)      kollektiv, in kollektivem Sinn
KT           Kausativ des Transitivs
l.           lassen
L.           Lektion
(landw.)     landwirtschaftlich, Landwirtschaft
(letsch.)    Dialekt von Letschchumi, letschchumisch
m.           machen
*m*          Maskulinum
(math.)      mathematisch, Mathematik
m-e          meine
(med.)       medizinisch, Medizin
(mil.)       militärisch, Militär
(min.)       mineralogisch, Mineralogie
(mingr.)     Dialekt von Samegrelo (Mingrelien), mingrelisch
m-m          meinem
m-n          meinen
(moch.)      Dialekt der Mochewe, mochewisch
*m/pl*       Maskulinum Pluralis
m-r          meiner
m-s          meines
mst          meist(ens)
(mthiul.)    Dialekt von Mthiulethi, mthiulisch
(mus.)       musikalisch, Musik
MV           Mittelverb
m. Vn.       männlicher Vorname
(myth.)      mythologisch, Mythologie
*N*          Nominativ
*n*          Neutrum
neg.         negativ
ng.          nordgeorgisch
*n/pl*       Neutrum Pluralis
NG           Nordgeorgien
NV           Neutrale Version
(nz.)        neuzeitlich
Obj.         Objekt
od.          oder
og.          ostgeorgisch
OG           Ostgeorgien
(o-imer.)    Dialekt von Ober-Imerethi, oberimerethisch
*opt*        Optativ
OR           Objektive Reihe
(o-ratsch.)  Dialekt von Ober-Ratscha, oberratschisch
OV           Objektive Version
OVZ          Personalzeichen der Objektiven Version
P.           Passiv
P¹           Passiv mit ი
P²           Passiv mit დ
P³           Passiv mit ები
*p.a.*       Partizipium Aktivi
*(perf.)*    perfektiv
*pf*         Perfekt
*p.f.*       Partizipium Futuri Passivi
(phys.)      physikalisch, Physik
Pkt.         Punkt
*pl*         Plural
*pl-pf*      Plusquamperfekt
*p.n.*       Partizipium negativum, negatives Partizip
(poet.)      poetisch
(pol.)       politisch, Politik
*pp*         Postposition
*p.p.*       Partizipium Perfekti Passivi
*pr*         Präsens
PR           Präsensreihe
*pr.dem.*    Pronomen demonstrativum
*pr.int.*    Pronomen interrogativum
*pr.pers.*   Pronomen personale
*pr.poss.*   Pronomen possessivum
*pr.rel.*    Pronomen relativum
*prv*        Präverb
(psch.)      Dialekt von Pschawethi, pschawisch
(ratsch.)    Dialekt von Ratscha, ratschisch
(rl.)        religiös, Religion
RM¹          Relatives Mittelverb mit Personalzeichen des Indirekten Objekts
RM²          Relatives Mittelverb mit Personalzeichen der Objektiven Version
RM³          Relatives Mittelverb mit Personalzeichen der Superessiven Version
RM⁴          Relatives Mittelverb mit Personalzeichen des Relativen Passivs mit ე
RP¹          Relatives Passiv mit ე
RP²          Relatives Passiv mit დ mit Personalzeichen des Indirekten Objekts
RP³          Relatives Passiv mit დ mit Personalzeichen der Objektiven Version
RP⁴          Relatives Passiv mit დ mit Personalzeichen der Superessiven Version
RP⁵          Relatives Passiv mit ები mit Personalzeichen des Indirekten Objekts
RP⁶          Relatives Passiv mit ები mit Personalzeichen der Objektiven Version
RP⁷          Relatives Passiv mit ები mit Personalzeichen der Superessiven Version
s.           siehe
*S*          Synkope, synkopiert
*sg*         Singular
sg.          südgeorgisch
SG           Südgeorgien
sn           sein
*spn*        Supinum
(spo.)       Sport
*sub*        substantivisch gebraucht bzw. dekliniert
Subj.        Subjekt
*sup*        Superlativ
SupV         Superessive Version
SupVZ        Personalzeichen der Superessiven Version
SV           Subjektive Version
T.           Transitiv
T¹           Transitiv in Neutraler Version
T²           Transitiv in Subjektiver Version
T³           Transitiv in Objektiver Version
T⁴           Transitiv in Superessiver Version
T⁵           Transitiv mit 2 Objekten
(tech.)      technisch, Technik
(thian.)     Dialekt von Thianethi, thianethisch
(thusch.)    Dialekt von Thuschethi, thuschisch
(tschan.)    Dialekt von Tschanethi, tschanisch
(typ.)       typographisch, Typographie
u.           und
(u-imer.)    Dialekt von Unter-Imerethi, unterimerethisch
(umg.)       umgangssprachlich
(unk.)       unkorrekte Form
u. zw.       und zwar
*V*          Vokativ
v.           von, vom
Vn.          Vorname
(vr.)        vorrevolutionär
(vulg.)      vulgär
wg.          westgeorgisch
WG           Westgeorgien
w. Vn.       weiblicher Vorname
(zo.)        zoologisch, Zoologie
ZP¹          Zustandspassiv in Neutraler Version
ZP²          Zustandspassiv in Objektiver Version
ZP³          Zustandspassiv in Superessiver Version
zs.          zusammen
